YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,State,District,Latitude,Longitude
2001,24,18,0,3,0,3,21,21,0,8,0,19,76,220,26,194,78,52,29,0,12,422,0,23,0,78,0,81,1283,2447,Gujarat,Patan,23.80634198473284,71.75162977099237
2001,15,9,0,6,0,6,5,5,0,0,0,3,44,116,37,79,8,38,15,0,5,136,0,10,0,64,0,37,704,1215,Gujarat,Porbandar,21.55092351651571,69.71896987722886
2001,38,17,0,11,0,11,29,24,5,7,1,13,103,204,36,168,73,45,32,1,9,522,2,45,3,75,0,0,1883,3113,Gujarat,Surendranagar,22.82672007299272,71.48358740875906
2001,44,8,3,9,0,9,16,11,5,22,0,25,246,432,135,297,40,50,37,2,12,301,0,10,0,50,0,0,1802,3109,Gujarat,Valsad,20.44238231644259,72.9148584798345
2001,26,23,2,11,0,11,38,32,6,2,5,18,316,365,154,211,5,13,76,0,11,280,11,27,0,132,0,0,985,2346,Haryana,Ambala,30.3503672316384,76.94970310734456
2001,40,20,8,10,0,10,9,7,2,0,10,19,132,190,120,70,109,26,54,1,16,267,33,17,0,43,0,2,849,1855,Haryana,Bhiwani,28.728868064516128,76.02110225806452
2001,68,38,7,37,0,37,78,53,25,7,25,44,236,668,444,224,133,117,61,6,14,304,19,47,242,108,0,18,3531,5808,Haryana,Faridabad,28.14873109756098,77.32718536585368
2001,18,23,2,17,0,17,20,13,7,3,5,11,96,141,61,80,11,1,52,2,6,210,17,17,0,93,0,1,468,1214,Haryana,Fatehabad,29.57298318584072,75.54608716814157
2001,69,30,5,32,0,32,50,32,18,4,15,51,294,794,435,359,78,55,29,2,20,244,17,21,21,136,0,5,1530,3502,Haryana,Gurgaon,28.043894789579163,77.01935130260523
2001,48,28,2,21,0,21,14,8,6,2,0,25,98,183,66,117,68,21,50,1,0,193,20,42,13,122,0,84,466,1501,Haryana,Jhajjar,28.59651868131869,76.61137142857145
2001,37,21,6,21,0,21,12,8,4,2,28,28,151,148,66,82,71,66,51,3,2,160,11,22,29,67,0,4,512,1452,Haryana,Jind,29.45149821958457,76.29598575667653
2001,33,15,8,16,0,16,9,8,1,3,4,9,103,144,66,78,0,60,16,1,28,216,9,19,0,105,0,1,396,1195,Haryana,Kaithal,29.96068539094649,76.37698930041155
2001,42,24,7,44,0,44,31,10,21,8,3,16,208,468,194,274,47,20,59,2,11,726,18,28,2,97,0,187,335,2383,Haryana,Karnal,29.703200647249204,76.87488025889972
2001,20,8,4,31,0,31,14,14,0,5,4,13,132,343,131,212,0,20,130,1,4,172,10,28,8,68,0,0,738,1753,Haryana,Kurukshetra,30.05652659846548,76.78774680306903
2001,26,10,0,11,0,11,13,8,5,1,0,1,59,116,32,84,47,34,9,1,21,157,8,19,0,23,0,2,611,1169,Haryana,Mahendragarh,28.1352161458333,76.14018072916659
2001,12,7,1,6,0,6,18,15,3,1,0,5,118,226,95,131,1,22,19,2,2,21,4,23,10,43,0,73,440,1054,Haryana,Panchkula,30.700897142857134,76.97173238095236
2001,43,26,3,38,0,38,19,10,9,20,8,47,182,415,243,172,35,20,53,1,7,144,11,16,11,92,0,191,513,1895,Haryana,Panipat,29.34352134146342,76.92895914634147
