Dist Code,Year,State Code,State Name,Dist Name,PRIMARY SECTOR CONSTANT PRICES (in Millions Rs),PRIMARY SECTOR CURRENT PRICES (in Million Rs),PRIMARY SECTOR CONSTANT SHARES (Percent),PRIMARY SECTOR CURRENT SHARES (Percent),SECONDARY SECTOR CONSTANT PRICES (Millions in Rs),SECONDARY SECTOR CURRENT PRICES (Millions in Rs),SECONDARY SECTOR CONSTANT SHARES (Percent),SECONDARY SECTOR CURRENT SHARES (Percent),TERTIARY SECTOR CONSTANT PRICES (Millions in Rs),TERTIARY SECTOR CURRENT PRICES (Millions in Rs),TERTIARY SECTOR CONSTANT SHARES (Percent),TERTIARY SECTOR CURRENT SHARES (Percent),Total Constant Prices (in Millions Rs),Total Current Prices (in Millions Rs),Per Capita Current Prices (1000 in Rs),State,District,Latitude,Longitude
33,2010 (2004),6,Madhya Pradesh,Dhar,17315,28471,30.8,33.8,15814,21872,28.13,25.96,23088,33902,41.07,40.24,56217,84245,39,Madhya Pradesh,Dhar,22.572681718963157,75.1105620736698
33,2011 (2004),6,Madhya Pradesh,Dhar,21107,37345,34.36,37.3,15417,23087,25.1,23.06,24902,39687,40.54,39.64,61426,100119,46,Madhya Pradesh,Dhar,22.572681718963157,75.1105620736698
33,2012 (2004),6,Madhya Pradesh,Dhar,25738,50440,37.55,41.13,15901,25396,23.2,20.71,26897,46805,39.25,38.16,68536,122641,55,Madhya Pradesh,Dhar,22.572681718963157,75.1105620736698
33,2013 (2004),6,Madhya Pradesh,Dhar,32530,72665,41.65,47.05,15752,26655,20.17,17.26,29819,55110,38.18,35.69,78102,154430,67,Madhya Pradesh,Dhar,22.572681718963157,75.1105620736698
34,2007 (2004),6,Madhya Pradesh,Jhabua,3160,3786,40.1,40.45,1572,1882,19.95,20.11,3148,3691,39.94,39.43,7881,9360,10,Madhya Pradesh,Jhabua,22.419578015397768,74.40921616766468
34,2008 (2004),6,Madhya Pradesh,Jhabua,3318,4448,38.15,39.43,1905,2461,21.9,21.82,3474,4371,39.94,38.75,8697,11281,12,Madhya Pradesh,Jhabua,22.419578015397768,74.40921616766468
34,2009 (2004),6,Madhya Pradesh,Jhabua,3084,4559,34.22,36.77,2082,2812,23.11,22.68,3846,5028,42.68,40.55,9011,12399,13,Madhya Pradesh,Jhabua,22.419578015397768,74.40921616766468
34,2010 (2004),6,Madhya Pradesh,Jhabua,3434,5653,33.73,36.83,2422,3519,23.79,22.93,4324,6176,42.48,40.24,10180,15349,15,Madhya Pradesh,Jhabua,22.419578015397768,74.40921616766468
34,2011 (2004),6,Madhya Pradesh,Jhabua,3955,7029,35.15,38.3,2537,3947,22.55,21.5,4761,7377,42.31,40.19,11253,18354,18,Madhya Pradesh,Jhabua,22.419578015397768,74.40921616766468
34,2012 (2004),6,Madhya Pradesh,Jhabua,4556,8950,36.63,40.31,2711,4485,21.79,20.2,5172,8769,41.58,39.49,12439,22204,21,Madhya Pradesh,Jhabua,22.419578015397768,74.40921616766468
